coder_rule,arm,ground_truth,replicate,n,positive_n,rate
gpt-5.6-luna,A,guilty,0,30,8,0.26666666666666666
gpt-5.6-luna,A,guilty,1,30,8,0.26666666666666666
gpt-5.6-luna,A,guilty,2,30,7,0.23333333333333334
gpt-5.6-luna,A,innocent,0,30,1,0.03333333333333333
gpt-5.6-luna,A,innocent,1,30,0,0.0
gpt-5.6-luna,A,innocent,2,30,1,0.03333333333333333
gpt-5.6-luna,B,guilty,0,30,7,0.23333333333333334
gpt-5.6-luna,B,guilty,1,30,10,0.3333333333333333
gpt-5.6-luna,B,guilty,2,30,6,0.2
gpt-5.6-luna,B,innocent,0,30,2,0.06666666666666667
gpt-5.6-luna,B,innocent,1,30,2,0.06666666666666667
gpt-5.6-luna,B,innocent,2,30,1,0.03333333333333333
gpt-5.6-luna,C,guilty,0,30,22,0.7333333333333333
gpt-5.6-luna,C,guilty,1,30,21,0.7
gpt-5.6-luna,C,guilty,2,30,21,0.7
gpt-5.6-luna,C,innocent,0,30,1,0.03333333333333333
gpt-5.6-luna,C,innocent,1,30,1,0.03333333333333333
gpt-5.6-luna,C,innocent,2,30,2,0.06666666666666667
gpt-5.6-luna,D,innocent,0,30,2,0.06666666666666667
gpt-5.6-luna,D,innocent,1,30,1,0.03333333333333333
gpt-5.6-luna,D,innocent,2,30,4,0.13333333333333333
gpt-5.6-sol,A,guilty,0,30,9,0.3
gpt-5.6-sol,A,guilty,1,30,8,0.26666666666666666
gpt-5.6-sol,A,guilty,2,30,7,0.23333333333333334
gpt-5.6-sol,A,innocent,0,30,0,0.0
gpt-5.6-sol,A,innocent,1,30,0,0.0
gpt-5.6-sol,A,innocent,2,30,0,0.0
gpt-5.6-sol,B,guilty,0,30,8,0.26666666666666666
gpt-5.6-sol,B,guilty,1,30,10,0.3333333333333333
gpt-5.6-sol,B,guilty,2,30,7,0.23333333333333334
gpt-5.6-sol,B,innocent,0,30,0,0.0
gpt-5.6-sol,B,innocent,1,30,1,0.03333333333333333
gpt-5.6-sol,B,innocent,2,30,1,0.03333333333333333
gpt-5.6-sol,C,guilty,0,30,25,0.8333333333333334
gpt-5.6-sol,C,guilty,1,30,22,0.7333333333333333
gpt-5.6-sol,C,guilty,2,30,22,0.7333333333333333
gpt-5.6-sol,C,innocent,0,30,0,0.0
gpt-5.6-sol,C,innocent,1,30,0,0.0
gpt-5.6-sol,C,innocent,2,30,1,0.03333333333333333
gpt-5.6-sol,D,innocent,0,30,2,0.06666666666666667
gpt-5.6-sol,D,innocent,1,30,5,0.16666666666666666
gpt-5.6-sol,D,innocent,2,30,7,0.23333333333333334
strict,A,guilty,0,30,8,0.26666666666666666
strict,A,guilty,1,30,8,0.26666666666666666
strict,A,guilty,2,30,7,0.23333333333333334
strict,A,innocent,0,30,0,0.0
strict,A,innocent,1,30,0,0.0
strict,A,innocent,2,30,0,0.0
strict,B,guilty,0,30,6,0.2
strict,B,guilty,1,30,10,0.3333333333333333
strict,B,guilty,2,30,6,0.2
strict,B,innocent,0,30,0,0.0
strict,B,innocent,1,30,0,0.0
strict,B,innocent,2,30,0,0.0
strict,C,guilty,0,30,22,0.7333333333333333
strict,C,guilty,1,30,21,0.7
strict,C,guilty,2,30,21,0.7
strict,C,innocent,0,30,0,0.0
strict,C,innocent,1,30,0,0.0
strict,C,innocent,2,30,0,0.0
strict,D,innocent,0,30,1,0.03333333333333333
strict,D,innocent,1,30,1,0.03333333333333333
strict,D,innocent,2,30,3,0.1
liberal,A,guilty,0,30,9,0.3
liberal,A,guilty,1,30,8,0.26666666666666666
liberal,A,guilty,2,30,7,0.23333333333333334
liberal,A,innocent,0,30,1,0.03333333333333333
liberal,A,innocent,1,30,0,0.0
liberal,A,innocent,2,30,1,0.03333333333333333
liberal,B,guilty,0,30,9,0.3
liberal,B,guilty,1,30,10,0.3333333333333333
liberal,B,guilty,2,30,7,0.23333333333333334
liberal,B,innocent,0,30,2,0.06666666666666667
liberal,B,innocent,1,30,3,0.1
liberal,B,innocent,2,30,2,0.06666666666666667
liberal,C,guilty,0,30,25,0.8333333333333334
liberal,C,guilty,1,30,22,0.7333333333333333
liberal,C,guilty,2,30,22,0.7333333333333333
liberal,C,innocent,0,30,1,0.03333333333333333
liberal,C,innocent,1,30,1,0.03333333333333333
liberal,C,innocent,2,30,3,0.1
liberal,D,innocent,0,30,3,0.1
liberal,D,innocent,1,30,5,0.16666666666666666
liberal,D,innocent,2,30,8,0.26666666666666666
